Kabupaten_Kota,Tingkat_Penduduk_Miskin,Rata-rata Lama Sekolah,Indeks Pembangunan Gender,Usia Harapan Hidup,PengeluaranPerKapita,Harapan Lama Sekolah,Produk Domestik Regional Bruto,Indeks Kemahalan Konstruksi,PengeluaranPerkapita_Rokok
Kota Batam,4.85,11.21,95.72,74.28,19668,13.56,233047.8,110.64,21161
Kota Tanjung Pinang,6.86,10.67,97.02,73.02,16663,14.18,25021.53,106.28,14134
Kepulauan Seribu,13.03,9.26,93.62,69.78,14110,12.67,8102.98,122.21,35486
Kota Jakarta Selatan,3.03,11.95,97.3,75.02,25573,13.94,850297,112.22,23536
Kota Jakarta Timur,4.09,11.99,95.9,75.38,19193,14.07,630608.9,109.6,16611
Kota Jakarta Pusat,4.63,11.61,96.24,75.09,18661,13.31,922861.1,119.14,20822
Kota Jakarta Barat,3.94,11.24,95.66,74.48,22119,13.14,627869.6,113.41,19681
Kota Jakarta Utara,6.44,10.85,94.43,73.69,20032,12.7,670179.1,112.64,22720
Bogor,7.05,8.39,90.17,72.16,11563,12.75,311713.2,115.39,23651
Sukabumi,6.87,7.34,88.59,72.06,9815,12.39,88142.36,103.12,27723
Cianjur,10.14,7.33,85.45,70.96,9026,12.04,64403.51,103.18,26964
Bandung,6.19,9.15,94.23,74.53,11392,12.74,165609.4,111.3,25150
Garut,9.68,7.85,83.5,72.28,9168,12.17,78825.14,102.23,24589
Tasikmalaya,10.23,7.97,87.1,70.39,8965,12.64,49783.14,98.5,24599
Ciamis,7.39,8.1,87.48,72.87,10085,14.3,43236.85,99.55,27939
Kuningan,11.88,7.9,87.55,74.53,10418,12.27,35535.77,98.27,22509
Cirebon,11,7.65,84.74,73.04,11529,12.42,67196.03,104.51,21488
Majalengka,10.82,7.53,87.16,71.31,10842,12.27,46302.88,102.13,21461
Sumedang,9.1,8.74,95.55,73.45,11589,13.02,47128.14,103.47,27453
Indramayu,11.93,6.95,89.03,72.77,11010,12.32,105588.9,104.92,29404
Subang,9.49,7.46,91.55,73.51,11894,12.11,54946.11,105.33,32381
Purwakarta,8.41,8.14,87.18,71.99,13099,12.25,88254.55,104.89,26462
Karawang,7.86,8.05,91.23,73.14,12942,12.21,309842.9,108.74,29837
Bekasi,4.8,9.76,89.72,74.57,12500,13.18,421323.5,108.56,23984
Bandung Barat,10.49,8.24,81.02,73.34,9583,12,61236.34,111.02,22565
Pangandaran,8.75,8.1,90.38,72.41,9654,12.31,15474.58,92.92,29356
Kota Bogor,6.53,10.71,91.26,74.74,13154,13.51,61051.67,112.47,21635
Kota Sukabumi,7.2,10.38,92.59,73.35,12252,13.62,16370.38,102.8,21837
Kota Bandung,3.87,11.07,94.87,75.37,18795,14.25,371845.6,117.19,29979
Kota Cirebon,9.02,10.53,95.83,73.34,12869,13.17,30540.17,105.18,18828
Kota Bekasi,4.01,11.79,93.62,76.12,16775,14.14,129351.9,106.59,27185
Kota Depok,2.34,11.59,93.7,75.55,16640,14.11,94149.54,109.97,25098
Kota Cimahi,4.39,11.52,92.28,75.1,13278,13.85,43422.59,112.94,25434
Kota Tasikmalaya,11.1,9.63,92.22,73.16,11431,13.5,29612.77,103.86,22184
Kota Banjar,5.85,8.83,88.12,72.03,11811,13.28,5549.26,98.04,21325
Cilacap,10.68,7.4,87.41,74.57,11868,12.69,135990.9,101.76,20057
Banyumas,11.95,7.91,89.27,74.34,12960,13.34,74162.92,100.9,19337
Purbalingga,14.18,7.36,93.74,73.56,11343,12.03,33357.33,99.9,17395
Banjarnegara,14.71,6.87,95.19,74.66,10595,11.83,29231.22,100.41,17631
Kebumen,15.71,7.87,93.41,73.96,10176,13.39,38605.46,98.3,14081
Purworejo,10.87,8.65,95.11,75.51,11584,13.55,24800.93,99.38,15066
Wonosobo,15.28,6.9,93.02,72.4,11980,11.81,25028.17,99.74,17333
Magelang,10.83,7.83,92.56,74.45,10926,12.62,43736,99.28,17778
Boyolali,9.63,8.17,94.79,76.44,14195,12.67,45853.42,100.85,19845
Klaten,12.04,9.29,95.9,77.3,13513,13.43,55249.45,100.31,17247
Sukoharjo,7.47,10.01,98.08,78.01,12758,13.92,49987.03,100.45,16599
Wonogiri,10.71,7.68,92.38,76.84,10634,12.61,39761.92,100.13,15125
Karanganyar,9.59,9.26,97.16,77.91,12732,13.73,51331.5,103.37,14637
Sragen,12.41,7.88,92.62,76.18,13890,12.93,52433.72,101.67,19720
Grobogan,11.43,7.29,86.45,75.24,11548,12.48,37505.78,102.22,22210
Blora,11.42,7.26,85.89,74.84,10926,12.6,33231.25,103.85,22782
Rembang,14.02,7.73,88.03,74.97,11830,12.3,25794.3,102.46,24406
Pati,9.17,7.82,92.55,76.56,11829,12.98,59014.63,104.52,23281
Kudus,7.23,9.35,94.01,77.08,12533,13.28,128611.8,104.64,19826
Jepara,6.09,8.27,91.71,76.21,11729,12.86,40564.22,104.76,20262
Demak,11.89,8.28,91.25,75.79,11591,13.36,35458.78,104.26,21876
Semarang,6.96,8.16,96.74,76.14,13377,13.06,65584.85,105.78,19596
Temanggung,8.67,7.53,96.27,75.95,10519,12.62,28923.6,99.95,13492
Kendal,9.35,7.74,94.34,74.73,13277,13,58836.99,102.28,20417
Batang,8.73,7.08,92.68,75.03,10919,12.17,30389.48,101.8,21742
Pekalongan,8.95,7.48,92.96,74,11701,12.46,30223.56,101.29,20486
Pemalang,14.92,6.56,87.37,73.99,10017,12.02,34889.22,104.1,22325
Tegal,6.81,7.36,88.85,72.16,10972,12.96,47721.31,101.18,17210
Brebes,15.6,6.41,87.61,70.29,11389,12.45,62045.49,104.48,21077
Kota Magelang,5.94,11.43,96.73,77.53,13619,14.62,11821.94,98.85,17153
Kota Surakarta,8.31,11.25,97.54,77.9,16291,15.07,64700.97,103.08,14199
Kota Salatiga,4.57,11.48,95.59,78.26,17096,15.46,18079.27,104.58,20207
Kota Semarang,4.03,11.05,96.37,78.24,16990,15.57,267551.4,105.04,18614
Kota Pekalongan,6.71,9.34,95.56,74.8,14547,12.89,14766.95,103.37,18219
Kota Tegal,7.64,9.28,93.95,74.87,14358,13.25,20660.52,104.5,17146
Kulon Progo,15.62,9.2,95.29,75.41,10990,14.49,16911.59,102.56,13574
Bantul,11.66,9.81,95.67,74.17,16851,15.63,36478.72,105.13,16145
Gunung Kidul,15.18,7.35,86.67,74.35,10630,13.4,26705.33,107.97,14858
Sleman,7.46,11.33,96.52,75.29,17586,16.79,63683.2,106.63,19031
Kota Yogyakarta,6.26,12.12,98.65,75.11,20603,17.66,49389.88,102.25,14086
Pacitan,13.08,7.9,86.46,73.04,10099,12.69,20656.58,91.07,9126
Ponorogo,9.11,7.8,94.6,73.74,11065,13.78,27047.08,97.17,14632
Trenggalek,10.5,7.92,92.68,74.83,10872,12.63,24364.74,97.25,10995
Tulungagung,6.28,8.68,95.56,75.11,11966,13.36,51246.65,93.25,13516
Blitar,8.16,7.87,93.65,74.54,12020,12.67,47779.19,90.03,14627
Kediri,9.95,8.26,93.41,73.47,12388,13.63,54649.67,91.51,18859
Malang,8.98,7.8,88.91,73.45,11190,13.49,138423.2,98.86,20661
Lumajang,8.65,7.27,89.43,71.14,10124,12.41,43059.45,91.96,17048
Jember,9.01,6.54,85.79,70.2,10700,13.5,102757.7,93.28,16995
Banyuwangi,6.54,7.78,87.57,71.57,13320,13.14,108922.6,96.67,22973
Bondowoso,12.6,6.53,91.22,67.76,11689,13.33,26543.06,93.02,21429
Situbondo,11.51,6.93,87.73,70.11,11216,13.2,27101.63,91.91,20943
Probolinggo,16.45,6.31,86.63,68.28,12258,12.64,45675.15,93.78,18428
Pasuruan,8.63,7.46,91.17,71,11617,12.78,201665.1,95.97,22044
Sidoarjo,4.53,10.91,94.9,74.91,15710,15.22,296887.1,106.35,22819
Mojokerto,9.37,9.13,91.84,73.45,13903,12.99,113129.7,97.79,22845
Jombang,8.6,8.78,90.83,73.42,12454,13.61,53898.91,98.01,19407
Nganjuk,10.17,8.25,94.18,72.48,13376,13.18,36270.56,95.01,16331
Madiun,10.63,8.2,92.55,72.47,12668,13.27,25548.56,95.85,18771
Magetan,9.32,8.69,94.37,73.49,12915,14.08,24577.3,95.27,16219
Ngawi,13.81,7.84,93.13,73.39,12414,12.89,25944.84,92.76,16559
Bojonegoro,11.69,7.59,91.44,72.76,11204,13.18,101794.1,95.73,20807
Tuban,14.36,7.53,88.81,72.54,11579,12.54,87110.99,97.93,23509
Lamongan,12.16,8.48,90.11,73.41,12419,14.03,52076.88,97.63,23953
Gresik,10.32,10.03,91.25,73.5,14356,13.98,188604.5,106.44,25535
Bangkalan,18.66,6.01,87.81,70.96,9841,11.98,28738.77,100.12,18196
Sampang,20.83,5.08,87.16,68.81,9782,12.55,24881.79,98.15,22125
Pamekasan,13.41,7.17,87.22,68.48,9811,13.69,22492.18,96.19,19497
Sumenep,17.78,6.1,82.67,72.65,10156,13.59,45222.29,102.75,31643
Kota Kediri,6.51,10.92,94.78,74.87,13670,15.71,168748.9,94.38,14926
Kota Blitar,6.75,10.82,97.49,74.86,14933,14.81,9187.7,92.25,18285
Kota Malang,3.91,11.14,95.9,74.33,17791,15.79,100116.9,98.02,14324
Kota Probolinggo,6.18,9.72,96.58,71.18,13405,13.98,15374.98,94.93,12535
Kota Pasuruan,6.32,9.94,96.99,72.5,14664,13.67,11208.17,97.09,17855
Kota Mojokerto,5.57,11.38,94.02,74.29,14842,14.13,8612.33,96.58,14809
Kota Madiun,4.38,12.11,95.26,73.65,17518,14.54,18653.19,94.27,15601
Kota Surabaya,3.96,10.89,94.53,74.94,19666,14.87,772493.6,102.54,20444
Kota Batu,3.06,9.87,90.86,73.49,14253,14.58,22154.31,99.88,22857
Pandeglang,9.18,7.16,87.23,65.79,9574,13.74,35904.68,85.68,23547
Lebak,8.44,6.61,81.22,68.34,9631,12.11,37631.48,86.7,32877
Tangerang,6.55,9.06,91.69,70.88,13254,12.88,186104.2,97.83,27095
Serang,4.51,7.88,92.54,65.9,11767,12.87,102120.4,93.2,31448
Kota Tangerang,5.43,11.14,94.95,72.46,15641,13.9,224790.8,98.61,26119
Kota Cilegon,3.75,10.39,88.29,67.66,14294,13.23,137989.3,93.43,29817
Kota Serang,5.65,8.93,92.61,69.27,14603,12.83,42988.41,95.04,27670
Kota Tangerang Selatan,2.36,11.86,94.47,73.31,17028,14.7,112214,104.33,20138
Jembrana,4.51,8.7,94.9,73.51,12638,13.05,16845.01,104.36,17533
Tabanan,4.4,9.57,95.95,74.8,15297,13.29,27649.8,104.23,20267
Badung,2.23,11.14,96.16,76.18,18556,14.23,75098.2,110.56,17525
Gianyar,4,9.84,95.14,74.86,15577,14.11,33046.6,103.63,12599
Klungkung,5.3,8.74,92.18,72.5,12358,13.13,11015.49,112.89,9896
Bangli,5.06,7.58,92.58,71.63,12148,12.53,8465.6,109.08,16138
Karang Asem,6.52,6.7,90.67,71.53,11176,12.91,20210.33,102.95,9282
Buleleng,5.39,7.69,92.24,72.92,14377,13.3,41387.75,104.76,14036
Kota Denpasar,2.59,11.53,96.77,76.01,20763,14.13,65300.21,115.46,16343
Lombok Barat,12.65,6.88,90.66,68.35,12431,13.99,19159.98,107.12,17870
